,Title,url_name,manganato_url,author,num_authors,num_genres,status,views,votes,avg_rating,last_chapter,description,Abe George,Alexandre Dumas,Aoisei,Asano Inio,Atsushi Kamakura,Chiba Sadoru,Demizu Posuka,Ena Moriyama,Fujimoto Tatsuki,Fukao Atsushi,Furuhashi Hideyuki,Furuya Minoru,Furuya Usamaru,Gee So-Lyung,Gou Tanabe,H. P. Lovecraft,Han,Hanazawa Kengo,Higashino Keigo,Hiroe Rei,Hiromoto Sinichi,Hokazono Masaya,Honda Shingo,Hyung Min-Woo,Isayama Hajime,Itou Junji,Jal,Junji Itou,Kaihou Norimitsu,Kaiu Shirai,Kakizaki Masasumi,Kaneshiro Muneyuki,Kanzaki Yuuya,Katsura Masakazu,Kawakami Ryou,Kim Hyung-Jin,Kimizuka Chikara,Kino Hitoshi,Kishimoto Yuki,Koike Nokuto,Koizumi Tomohiro,Kotegawa Yua,Kouji Megumi,Kozo Takahashi,Macchiro,Masaya Hokazono,Matsui Yuusei,Matsumoto Jiro,Miura Kentaro,Miura Tsuina,Miyatsuki Arata,Mori Kouji,Murasaki Hisato,Murata Shinya,Nabeda Yoshiro,Nagai Yoshio,Nakamura Moto,Nanjou Norio,Nitta Jiro,Nohara Mosae,Ochiai Naoyuki,Oobaru,Ooki Kousuke,Osamu Dazai,Oshimi Shuzo,Otomo Katsuhiro,Otsuka Eiji,Ryou Haruto,Saimura Tsukasa,Sakaki Kenji,Sakamoto Shinichi,Sakurai Gamon,Samura Hiroaki,Sanbe Kei,Sato Kentaro,Satou Daisuke,Satou Kenichi,Shimada Toranosuke,Tajima Sho-U,Takahashi Tsutomu,Takami Koushun,Takatoo Yuko,Takimoto Tatsuhiko,Tatsuki Fujimoto,Terada Katsuya,Tonogai Yoshiki,Tsutsui Tetsuya,Uguisu Sachiko,Watanabe Chihiro (Ii),Yagi Norihiro,Yamaguchi Takayuki,Yamamoto Hideo,Yasohachi Ryou,Yasuhiko Yoshikazu,Youn In-Wan,Yu Satomi,,Action,Adventure,Comedy,Cooking,Doujinshi,Drama,Fantasy,Historical,Horror,Martial arts,Mature,Mystery,One shot,Psychological,Romance,School life,Sci fi,Seinen,Shounen,Slice of life,Sports,Supernatural,Tragedy,Webtoons
21,Fire Punch,fire_punch,https://chapmanganato.com/manga-tf971140,['Fujimoto Tatsuki'],1,7,ongoing,26.7M,1517,4.79,Chapter 83,"Description :
Snow, pain, starvation is everywhere...The evil bitch called ""Ice Witch"" has turned the world into snow with her madness. And all of freezing people naturally seeked flame. The ""blessing"" that was bestowed upon Agni, is it a hope or maybe a curse...?",,,,,,,,,Fujimoto Tatsuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Action,,,,,,,,,,Mature,Mystery,,,,,Sci fi,,Shounen,,,Supernatural,Tragedy,
22,Vigilante: Boku No Hero Academia Illegals,vigilante_boku_no_hero_academia_illegals,https://chapmanganato.com/manga-vv972730,['Furuhashi Hideyuki'],1,7,ongoing,14.3M,533,4.66,Chapter 126,"Description :
Spin-off of Boku no Hero Academia focusing on Vigilantes (unlicensed illegal heroes).",,,,,,,,,,,Furuhashi Hideyuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Action,,Comedy,,,Drama,Fantasy,,,,,,,,,School life,Sci fi,,Shounen,,,,,
23,Yogen No Nayuta,yogen_no_nayuta,https://manganato.com/manga-ul971546,['Fujimoto Tatsuki'],1,2,finished,536.6K,261,4.81,Chapter 0 : One Shot,"Description :
A tale about a prophecy involving a girl with horns who is said to bring destruction upon the world, and her brother.",,,,,,,,,Fujimoto Tatsuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,One shot,,,,,,,,,Supernatural,,
24,Sasaki-Kun Ga Judan Tometa,sasaki_kun_ga_judan_tometa,https://manganato.com/manga-ul971868,['Fujimoto Tatsuki'],1,0,finished,232.9K,88,4.85,Chapter 0 : One Shot,"Description :
When this world is no moreThe moon is all we'll seeI'll ask you to fly away with meUntil the stars all fall downThey empty from the skyBut I don't mindIf you're with me, then everything's alright",,,,,,,,,Fujimoto Tatsuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Gyakusatsu Happy End,gyakusatsu_happy_end,https://chapmanganato.com/manga-kn988270,['Miyatsuki Arata'],1,4,ongoing,4.7M,1196,4.7,Chapter 55 [End],"Description :
High school student Kusakabe Makoto has to work all day to raise money for the treatment of his younger sister, who suffers from a serious illness. The father is unemployed, the mother ran away, leaving the children, bullying at work … Despite all this, he does not lose hope and continues to live for her sister. But having learned that she did not have long, Makoto falls into despair. Fear of the unknown causes him to take a different look at the value of human life.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miyatsuki Arata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mystery,,Psychological,,,,Seinen,,,,Supernatural,,
26,Hakaijuu,hakaijuu,https://manganato.com/manga-aa959157,['Honda Shingo'],1,4,ongoing,3.5M,195,4.63,Vol.19 Chapter 74: Last Words,"Description :
You lead quite a nice life... Competing with your friends... Having a childhood-almost-girlfriend, who is coming back to town... All dreams starting to come true... when the ground suddenly shakes and a shelf drops on your head....
Well... You hit your head just now, so it'd be quite... reasonable that everything went nuts and people get eaten before your eyes, wouldn't it?",,,,,,,,,,,,,,,,,,,,,,,Honda Shingo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Action,,,,,,,,Horror,,,Mystery,,,,,,,Shounen,,,,,
27,Koukoku No Shugosha,koukoku_no_shugosha,https://manganato.com/manga-hv954704,['Satou Daisuke'],1,6,finished,518.3K,51,4.86,Vol.1 Chapter 34 : Repatriation(End),"Description :
An elite military unit conducts its duties alongside sabertooth tigers trained to assist their human masters.
The Imperial Guards manga was a runner-up in the 9th Japanese Media Arts Awards, the 11th Tezuka Cultural Prize, and the 1st Manga Taisho Awards.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satou Daisuke,,,,,,,,,,,,,,,,,,,,,,Action,Adventure,,,,Drama,Fantasy,Historical,,,,,,,,,,Seinen,,,,,,
28,Ichi (Yamamoto Hideo),ichi_yamamoto_hideo,https://manganato.com/manga-mc964185,['Yamamoto Hideo'],1,6,finished,197.7K,19,4.74,Vol.1 Chapter 11.2,"Description :
Growing up a target of bullying, a senior high student, Shiroishi Hajime, is a skilled karateka, but goes completely weak at the knees with fear when it comes to fighting.
Among all this, a power junkie and classmate of Ichi who does nothing but fighting, Akakuma Dai, sets his eyes on Ichi!!
When Ichi starts to shed tears, all of a sudden a violent impulse that resided inside him is unleashed!!!!
This is the complete collection composing of the prelude to the masterpiece: ""Ichi The Killer"", and for the first time ever in book form: ""Ichi The Killer - The Birth""!!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yamamoto Hideo,,,,,,Action,,,,,Drama,,,,,Mature,,,Psychological,,School life,,Seinen,,,,,,
29,Kimi no Knife,kimi_no_knife,https://manganato.com/manga-rd969260,['Kotegawa Yua'],1,5,finished,667.5K,46,4.85,Vol.10 Chapter 71 : Judgment Vi,"Description :
From Manga Updates
""If you can get 5 million yen for killing a person, what would you do?"" A beautiful woman asks Shiki, a part-time lecturer that question on their first meeting. Shiki answers ""If it's an evil person..."", mistaking this for a joke. But then the woman points out the target...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kotegawa Yua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drama,,,,,,Mystery,,Psychological,,,,Seinen,,,,Supernatural,,
30,Gakkou Gurashi! Otayori,gakkou_gurashi_otayori,https://manganato.com/manga-jh986764,"['Kaihou Norimitsu', 'Chiba Sadoru']",2,7,ongoing,399.1K,165,4.7,Chapter 8,"Description :
A sequel set after the ending of Gakkou Gurashi! which details the aftermath of the characters.",,,,,,Chiba Sadoru,,,,,,,,,,,,,,,,,,,,,,,Kaihou Norimitsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Action,Adventure,,,,,,,Horror,,,,,Psychological,,,,Seinen,,Slice of life,,,Tragedy,
31,Cradle of Monsters,cradle_of_monsters,https://manganato.com/manga-mi964117,['Sanbe Kei'],1,6,finished,925.9K,63,4.7,Vol.6 Chapter 41.6,"Description :
A group of students find themselves on a sinking capsized ship. Together with some zombies. What happened to the ship and why are there zombies aboard? It's a battle against time and zombies, to save themselves.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanbe Kei,,,,,,,,,,,,,,,,,,,,,,,,Action,,,,,Drama,,,Horror,,Mature,Mystery,,,,,,Seinen,,,,,,
32,Noin,noin,https://manganato.com/manga-yn975748,['Murasaki Hisato'],1,3,ongoing,455.2K,115,4.13,Chapter 49: Under Pouring Rain [End],"Description :
From the depths of the earth appeared the mysterious, gigantic being, Mánagarmr.
Belonging to the special education class of Toudou Academy, main character Magami Taijuu encounters a single person in the depths of the earth, a girl named Non. The pair's meeting will set the gears of fate in motion...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Murasaki Hisato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Action,,,,,,Fantasy,,,,,,,,,,,,Shounen,,,,,
33,Kamisama No Iutoori (Fujimura Akeji),kamisama_no_iutoori_fujimura_akeji,https://manganato.com/manga-mk963567,['Kaneshiro Muneyuki'],1,4,finished,1M,77,4.62,Vol.5 Chapter 21 : Icarus’S High,"Description :
Takahata Shun's day at high school begins just as normal and boring as ever, but it doesn't end that way. After his teacher's head explodes, he and his classmates find themselves forced to play children's games, such as Daruma ga Koronda (a game like Red Light/Green Light), with deadly stakes. With no idea who is behind this mysterious deadly game session, and no way of knowing when it will finally end, the only thing Shun and other students can do is keep trying to win...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaneshiro Muneyuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Action,,,,,,,,Horror,,,,,,,,,,Shounen,,,Supernatural,,
34,Goumon Tournament,goumon_tournament,https://manganato.com/manga-by978707,"['Aoisei', 'Takatoo Yuko']",2,2,ongoing,1.2M,146,4.27,Chapter 19 [End],"Description :
One day, high school student Shunsuke Ohta comes across a man that looks exactly like himself, who commits suicide at a train station. The next day, Shunsuke is abducted on his way home from school. When Shunsuke wakes up after that, he finds himself inside of a cage. There, various torturers gather and compete to see who can make their target confess their secrets the fastest in the ""Torture Tournament."" Shunsuke battle against the ""White Noble"" and the ""Black Moon"" begins!",,,Aoisei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Takatoo Yuko,,,,,,,,,,,,,,,,,,,,,,,,Horror,,,,,,,,,Seinen,,,,,,
35,Ibitsu,ibitsu,https://manganato.com/manga-nm965021,['Ryou Haruto'],1,3,finished,893.3K,122,4.34,Chapter 63,"Description :
A boy went to take his trash out late one night, and found a strange, creepy, lolita woman sitting amongst the garbage bags. She asked if he had a little sister, and he answered her, hurrying afterwards back to his apartment. When he looked out the window, she was gone. Who is the strange woman, and why does she give him such a bad feeling?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryou Haruto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Horror,,,,,,,,,Seinen,,,,,Tragedy,
36,Shigurui,shigurui,https://manganato.com/manga-kw961379,"['Yamaguchi Takayuki', 'Nanjou Norio']",2,7,finished,1.6M,131,4.48,Vol.15 Chapter 84 : Pure Crimson [End],"Description :
1630, in the province of Suruga, Japan. The cruel prince Tadanaga Tokugawa, third brother of the Shogun Iemitsu, decides to gather the most valiant fighters to make them face eachothers in a tournament. The first duel opposes two men that seem to know eachothers, Gennosuke Fujiki and Seigen Irako. But what is their real connection? Warning! Extremely violent, gory including sex. For a mature audience only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nanjou Norio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yamaguchi Takayuki,,,,,,,Action,,,,,Drama,,Historical,,Martial arts,Mature,,,,,,,Seinen,,,,,Tragedy,
37,I am a hero,i_am_a_hero,https://chapmanganato.com/manga-ep954372,['Hanazawa Kengo'],1,8,ongoing,21.7M,556,4.61,Chapter 265: Epilogue,"Description :
Hideo Suzuki is a thirty-five year old mangaka assistant struggling to be the hero in his own life by breaking back into the lime light with a new serial all the while juggling his relationship with his girlfriend and his own delusions. However, as hard as Hideo may try, the world seems to have a different set of plans for him; sinister and dark machinations that completely overturn his reality as he knows it. Nominated for the 3rd and 4th Manga Taisho Award (2010 and 2011).",,,,,,,,,,,,,,,,,,Hanazawa Kengo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Action,,,,,Drama,,,Horror,,Mature,Mystery,,Psychological,,,,Seinen,,,,Supernatural,,
38,Zetman,zetman,https://chapmanganato.com/manga-ui961165,['Katsura Masakazu'],1,7,ongoing,4.8M,124,4.77,Vol.15 Chapter 226 : Zet,"Description :
Jin, a mysterious kid with a halo carved in his hand, and extraordinary fighting skills, lives with his grandfather in a beggar's community. In other place, the old scientist Amagi is searching for professor Kanzaki, to ask him for the whereabouts of the ""player"" -a kind of genetic altered humans- Zet, which they created some years ago. Soon, Jin and his grandfather are attacked by a mysterious man who turns into a monster. The connection between professor Amagi and professor Kanzaki, seems to connect also young Jin to the mystery of the ""players"" and Zet.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Katsura Masakazu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Action,,,,,Drama,,,,,Mature,,,,Romance,,Sci fi,Seinen,,,,Supernatural,,
39,Uzumaki,uzumaki,https://chapmanganato.com/manga-ni964717,['Itou Junji'],1,8,finished,7.4M,459,4.63,Chapter 20 : Lost Chapter#galaxies,"Description :
Kurôzu-cho, a small fogbound town on the coast of Japan, is cursed. According to Shuichi Saito, the withdrawn boyfriend of teenager Kirie Goshima, their town is haunted not by a person or being but by a pattern: uzumaki, the spiral, the hypnotic secret shape of the world. It manifests itself in small ways: seashells, ferns, whirlpools in water, whirlwinds in air. And in large ways: the spiral marks on people's bodies, the insane obsessions of Shuichi's father, the voice from the cochlea in your inner ear. As the madness spreads, the inhabitants of Kurôzu-cho are pulled ever deeper, as if into a whirlpool from which there is no return... - Viz",,,,,,,,,,,,,,,,,,,,,,,,,,Itou Junji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drama,,,Horror,,Mature,Mystery,,Psychological,,,,Seinen,,,,Supernatural,Tragedy,
40,Manhole,manhole,https://manganato.com/manga-oa966335,['Tsutsui Tetsuya'],1,3,finished,448.8K,56,4.52,Vol.3 Chapter 29 : Epilogue,"Description :
From Illuminati-Manga:
What do two Japanese detectives, a naked man on a city street, and a roundworm from Botswana all have in common? In the first volume of Manhole, Ken Mizoguchi and Nao Inoue investigate a string of bloody and mysterious murders, but their work uncovers a deadly biological agent which poses a threat of epidemic proportions. An unlikely lead starts them in the pursuit of a mysterious self-titled photographer, but meanwhile the infections keep spreading. The series may be best described as the thrilling combination of a detective story with biological horror.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tsutsui Tetsuya,,,,,,,,,,,,,,,,,,,Horror,,,Mystery,,,,,,Seinen,,,,,,
41,Himizu,himizu,https://manganato.com/manga-ke961613,['Furuya Minoru'],1,5,finished,444.1K,31,4.9,Vol.4 Chapter 43 : Fool,"Description :
Every day in Japan, 2500 people die due to any number of causes. Do you think you'll be one of the ones to die? No, of course not. Do you think you'll win the lottery? You'd like to think so, we all would. But Sumida is different. He wants the status quo to remain in every way; live a normal life, get a normal job, have normal kids, never to be anyone fortunate or unfortunate, content in normalcy. Anyone who doesn't agree is foolish, doomed to live their life scraping up a mountain that they can never conquer, fated to die in despair wishing things had been better.
When his mother kicks his father out of the house and onto the streets, he thinks he'll be fine. When his mother leaves him to live with her boyfriend, he makes the best of it. When he realizes that he's no longer average, he strives to make his life worthwhile the only way he knows how. When the demons in the back of his mind speak to him, he tries his best to ignore them.",,,,,,,,,,,,Furuya Minoru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drama,,,,,Mature,,,Psychological,,,,Seinen,,Slice of life,,,,
42,Battle Royal,battle_royal,https://chapmanganato.com/manga-kj960244,['Takami Koushun'],1,11,finished,3.5M,89,4.53,Vol.15 Chapter 119 : Hope,"Description :

Read Battle Royale Manga

Battle Royale Manga has been accommodated into a manga that was serialized, composed by Koushun Takami and Masayuki Taguchi, was released in Japan by Akita Publishing. Tokyopop consists of 15 volumes and distributes in English the manga. There's a manga sequel called Battle Royale II: Blitz Royale. At October 2007, a fresh special version of the manga will probably be published.
 
The manga follows the storyline of the novel fairly carefully, but additionally enlarges on the back story of all the pupils. Additionally it is much more sexually graphic as opposed to movie and novel versions, and can also be noted for the extreme violence.


 
In addition, the English version of manga alters the time the story is occur by nearly 10 years, utilizing the phrase 'in the close future', but on Shogo Kawada's account, it references the software 2005 period; he claims his last application was a year-ago, resulting in the supposition the manga establishes the story in 2006. In quantity among the English language variation, the information channel reporter as well as Shinji Mimura mentions the 2007 report of seven hours, three times and twenty two minutes. To the 2009 period, which will be the 2009 one Kamon refers in quantity 14. Not one of the dates are mentioned in the first Japanese version. Seemingly they were formulated by Keith Giffen through the variation (see below) along with a number of other particulars nonexistent in the authentic.
 
The manga revolves around seven main figures, for instance, righteous Shuya Nanahara, the tender and affectionate Noriko Nakagawa, the case-hardened expert Shogo Kawada, the pro Shinji Mimura, the kindhearted kungfu expert Hiroki Sugimura, the distressed Mitsuko Souma, as well as the cool, merciless Kazuo Kiriyama. As of January 2006, all 1-5 volumes are released in Japan. In Great Britain and the United States all 1-5 of the volumes are released as of April 2006.
 
 
Primary Character in Battle Royal manga


Shuya Nanahara is among the three primary protagonists plus a fictional Japanese pupil. Shuya, who's nicknamed ""Shu"", lives in the fictional city Shiroiwa in Kagawa Prefecture.
 
 
Noriko Nakagawa is the primary female protagonist of the show. She's among the class of third year pupils in Shuya's college. Noriko has a crush on Shuya, whom she admired for his songs and songwriting.


Battle Royale Manga's Characters

Shogo Kawada is the victor of an earlier Program as well as a transfer pupil. In the start he joins up with all the both of these and satisfies Shuya and Noriko.

Kazuo Kiriyama is the main opponent, who attempts to win the Program (utilizing a coin toss to determine whether or not he performs), killing the most quantity of pupils in the class making him the biggest risk. It's afterwards mentioned he'd experienced an automobile crash in a youthful age (where he watched his mother's passing), causing brain injury and resulting in too little emotions and sorrow.

Mitsuko Souma is the secondary antagonist, regarded among the very beautiful women in the system, she's also the female together with the most kills, along with the most deranged, in using her womanly wiles and power to feign feelings to falsify afterward kill her school mates triumphing. It's later shown that these emotional issues come from the following sexual abuse she received from her step-father in addition to physical abuse from her very own mom, as well as her dad after her parents divorced, leaving.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Takami Koushun,,,,,,,,,,,,,,,,,Action,,Comedy,Cooking,Doujinshi,Drama,,,Horror,,Mature,,,Psychological,Romance,,,Seinen,,,,,Tragedy,
43,The Devil Of The Gods,the_devil_of_the_gods,https://chapmanganato.com/manga-iq985973,"['Kozo Takahashi', 'Saimura Tsukasa']",2,8,ongoing,1.5M,127,4.55,Chapter 10: Apocalypse,"Description :
A mysterious man butchers his way through a busy train car in Tokyo. This marks the starting point of a series of mysterious incidents.  Renji Amamiya is attacked by Toriko, a prostitute with whom he is in love with, but he is saved by father Mitakura, a renowned exorcist who reveals to him the existence of demons...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kozo Takahashi,,,,,,,,,,,,,,,,,,,,,,,,,Saimura Tsukasa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Action,,,,,,Fantasy,,Horror,,,Mystery,,Psychological,,,,Seinen,,,,Supernatural,Tragedy,
44,Suicide Island,suicide_island,https://chapmanganato.com/manga-de954339,['Mori Kouji'],1,7,ongoing,5.6M,384,4.48,Chapter 168: Island Of Life [End],"Description :
Treating non-successful suicidal patients requires a lot of money and resources. With a low budget and a personal respect argumentation, a doctor will ask a non-successful suicidal patient if he/she still wants to live on or not. If not, the government will respect his/her wish. However, the government doesn't just simply kill them.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mori Kouji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Horror,,Mature,Mystery,,Psychological,Romance,,,Seinen,,,,,Tragedy,
45,Claymore,claymore,https://chapmanganato.com/manga-ha959909,['Yagi Norihiro'],1,8,finished,19.4M,867,4.81,Vol.24 Chapter 155.2 : Interview With Yagi Norihiro Extended,"Description :
Read Claymore manga
Show is set on a fictional medieval island where people are harassed by Yoma, humanoid shape-shifters that feed on people. A cryptic group, called The Organization, creates human-Yoma hybrid vehicles to kill Yoma for a fee. These female warriors wear uniforms that are armored.


Main character in Claymore manga

Claymore and Yoma warriors likewise are powered with a demonic energy, Yoki, allowing shape-shifting extreme strength and. The action of awakening is likened to the sensation of sexual climax while both female and male warriors existed in days gone by hence the development of male Claymores ceased completely and only the girls proved to be successful warriors.

The isle world is divided with one warrior delegated to each. Claymore warriors No. 1 through 47 are rated on their service line Yoki possible, strength, agility, wisdom, feeling and leadership. A warrior's status falls and climbs based on the warrior's strength in terms of other warriors. It's not clear when the possibility lies within the warriors or whether the warriors strength comes from training/expertise.

Along with all having distinct names, most warriors (typically full of status) further their identity by possessing an original sword technique, fighting style, or yoki power. A couple of fighting styles include: releasing a blast of yoki to get a brief fit of speed, fighting with two swords, and extending the arm. For yoki skill, there are quite precisely in close quarters and many Claymores who are able to feel yoki over vast spaces. This seems to be, while not attacking, a precious and very uncommon skill as well as the Claymores in the Organization with this skill are generally highly rated. Additionally, there are four Claymores which have attacking techniques which are yoki. The first is Galatea's power to command her adversaries yoki for short intervals during conflict, generally to cause the assault to lose of the enemy. The 2nd is Teresa's: her power to feel yoki is not really weak that she is able to feel her adversaries body being moved around by it how and when her enemy would attack next, and will thus feel, a technique afterwards reproduced by Clare. The next skill is the fact that of Raftela who's in a position to control movements and the eyesight of other Claymores. She's used as an anti-warrior warrior.

Claymores would be the titular characters of the show.
People would be the most numerous and politically dominant species understood in both the Mainland as well as the Island.



Yoma are beings that feed on blood and human flesh. They are able to shapeshift into human form which allows them to dwell among people. They are created by the Organization by sending them to the North while the daughters are sent to the East to become Claymores and rounding up orphan sons. The outcome is a Yoma.

Yoma have rate and strength beyond individuals and will regenerate damaged bodies at unbelievable rates. Yoma in their authentic state have gold cat like eyes, razor sharp teeth and claws, muscle, elongated limbs and torsos, blood that is purple and grey, purple, brown or green skin.

Other manga:
+ UQ Holder Manga
+ Tenkuu Shinpan manga",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yagi Norihiro,,,,,,,,Action,Adventure,,,Doujinshi,,Fantasy,,,,Mature,Mystery,,,,,,,Shounen,,,,Tragedy,
46,Ichi the Killer,ichi_the_killer,https://chapmanganato.com/manga-tp961150,['Yamamoto Hideo'],1,5,finished,4.2M,197,4.65,Chapter 103,"Description :
[From Anime News Network]: In Shinjuku Kabuki-Cho, the biggest sin town in Japan, there are two crazy guys. Ichi is a coward and a wimp, but once he breaks into tears, he turns into a human weapon. With great martial arts skill and a blade hidden in his boots, he butchers a bunch of enemies into mincemeat in the blink of an eye. His arch enemy is Kakihara, a yakuza boss who's tired of everything, including himself. Only when he pierces, cuts, and burns his own and other people's bodies does he feel that he is alive. Warning: Very graphic content.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yamamoto Hideo,,,,,,Action,,,,,Drama,,,,,,,,Psychological,,,,Seinen,,,,,Tragedy,
47,Kanojo Wo Mamoru 51 No Houhou,kanojo_wo_mamoru_51_no_houhou,https://manganato.com/manga-mx963980,['Furuya Usamaru'],1,6,finished,711.8K,42,4.86,Vol.5 Chapter 49 : 5 Years Later,"Description :
From ANN:
February 23rd, 20XX. Looking for a job in the famous TV station at Odaiba, college senior Jin Mishima attended the recruitment orientation. Not far away from the station, Nanako Okano, a gothic lolita trying to attend a concert, found out that her friends tricked her about the concert ticket because of jealousy. The two bumped into each other and ""reunited"" -- they were junior high classmates -- moments before an earthquake of Richter Scale 8.1 turned the island (the entire city, in fact) into ruins.",,,,,,,,,,,,,Furuya Usamaru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Action,,,,,Drama,,,,,Mature,,,,Romance,,,Seinen,,,,,Tragedy,
48,Insect Princess,insect_princess,https://manganato.com/manga-db980358,"['Masaya Hokazono', 'Yu Satomi']",2,8,ongoing,1.8M,295,4.52,Vol.3 Chapter 24 [End],"Description :
A dark romance about a high school boy who falls helplessly in love with a beautiful girl who has to eat people to survive.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masaya Hokazono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yu Satomi,,,,,,,Drama,,,Horror,Martial arts,,,,Psychological,Romance,,,Seinen,,,,Supernatural,Tragedy,
49,Bibliomania,bibliomania,https://manganato.com/manga-jq987199,"['Oobaru', 'Macchiro']",2,7,ongoing,580.4K,778,4.9,Chapter 12: Sunset [End],"Description :
Alice had woken up in Room 431 of a mysterious manor.



""You must not leave this room,"" warned the Serpent, but she paid it no heed and her body began to rot...



Will she be able to escape the cursed manor?c",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Macchiro,,,,,,,,,,,,,,,,,Oobaru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adventure,,,,Drama,Fantasy,,Horror,,,,,Psychological,,,,Seinen,,,,Supernatural,,
